DISCOVERTIME,COORDX,COORDY,INFOSCNAME
10-11月-14,-1745.55,-13686.39,群租
11-11月-14,100.001,100.001,群租
10-11月-14,100.001,100.001,机动车乱停放、非机动车乱停放
18-11月-14,100.001,100.001,沿街商铺（含各类亭）跨门营业
24-10月-14,-3810.884455,-8686.649514,车容车貌脏乱差
03-11月-14,-2414.130216,-5874.539939,群租
18-11月-14,100.001,100.001,车容车貌脏乱差
18-11月-14,100.001,100.001,群租
18-11月-14,100,100,交通指示牌
18-11月-14,100.001,100.001,群租
18-11月-14,100.001,100.001,市政公共设施偷盗破坏或占用
18-11月-14,-4908.080097,-5924.019904,群租
31-10月-14,100.001,100.001,群租
26-10月-14,100.001,100.001,车容车貌脏乱差
26-10月-14,100.001,100.001,车容车貌脏乱差
31-10月-14,100.001,100.001,上水井盖
03-11月-14,100.001,100.001,群租
13-11月-14,100.001,100.001,群租
03-11月-14,100.001,100.001,车容车貌脏乱差
03-11月-14,100.001,100.001,车容车貌脏乱差
16-11月-14,100.001,100.001,群租
27-10月-14,100.001,100.001,车容车貌脏乱差
27-10月-14,100.001,100.001,车容车貌脏乱差
27-10月-14,100.001,100.001,车容车貌脏乱差
13-11月-14,100.001,100.001,群租
13-11月-14,100.001,100.001,群租
28-10月-14,-5304.300045,-4979.184914,群租
27-10月-14,100.001,100.001,车容车貌脏乱差
18-11月-14,-2512.179996,-8824.999929,群租
18-11月-14,100.001,100.001,群租
27-10月-14,100.001,100.001,群租
27-10月-14,-2414.130216,-5874.539939,群租
18-11月-14,100.001,100.001,群租
18-11月-14,100.001,100.001,群租
13-11月-14,-2345.939993,-2081.290044,群租
28-10月-14,100.001,100.001,群租
28-10月-14,100.001,100.001,群租
28-10月-14,-4100.718828,-5131.985756,群租整治
05-11月-14,100.001,100.001,群租
06-11月-14,-1773.24,-10446.16,群租
06-11月-14,-2029.42,-10585.44,群租
21-11月-14,100.001,100.001,群租
04-11月-14,100.001,100.001,群租
15-11月-14,-635.3281002,-4544.38007,群租
04-11月-14,100.001,100.001,群租
05-11月-14,-2007.17,-10387.96,群租
15-11月-14,100.001,100.001,群租
30-10月-14,-3335.490481,-7143.519749,群租
04-11月-14,100.001,100.001,群租
04-11月-14,-3204.688027,-7226.373674,群租
21-11月-14,100.001,100.001,群租
14-11月-14,100.001,100.001,群租
20-11月-14,100.001,100.001,群租
20-11月-14,100.001,100.001,群租
20-11月-14,100.001,100.001,群租
23-10月-14,100.001,100.001,车容车貌脏乱差
23-10月-14,-4659.238504,-11391.71857,车容车貌脏乱差
23-10月-14,100.001,100.001,车容车貌脏乱差
23-10月-14,100.001,100.001,车容车貌脏乱差
14-11月-14,100.001,100.001,群租
22-10月-14,100.001,100.001,车容车貌脏乱差
20-11月-14,100.001,100.001,车容车貌脏乱差
15-10月-14,-4408.682489,-5142.309579,车容车貌脏乱差
15-10月-14,100,100,道路破损
12-10月-14,100.001,100.001,车容车貌脏乱差
16-10月-14,100.001,100.001,车容车貌脏乱差
18-10月-14,100,100,上水井盖
17-10月-14,100.001,100.001,车容车貌脏乱差
08-10月-14,100,100,机非分隔设施
17-10月-14,100.001,100.001,车容车貌脏乱差
16-10月-14,100.001,100.001,车容车貌脏乱差
16-10月-14,100.001,100.001,车容车貌脏乱差
16-10月-14,-4733.429958,-4764.36983,车容车貌脏乱差
16-10月-14,100.001,100.001,车容车貌脏乱差
20-10月-14,100,100,车容车貌脏乱差
20-10月-14,100.001,100.001,车容车貌脏乱差
20-10月-14,100.001,100.001,车容车貌脏乱差
20-10月-14,100.001,100.001,车容车貌脏乱差
20-10月-14,100,100,路面积水、污水冒溢、粪便冒溢
29-9月 -14,100,100,市政公共设施偷盗破坏或占用
29-9月 -14,100,100,市政公共设施偷盗破坏或占用
29-9月 -14,100,100,市政公共设施偷盗破坏或占用
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,路面积水、污水冒溢、粪便冒溢
29-9月 -14,100.001,100.001,沿街商铺（含各类亭）跨门营业
29-9月 -14,100.001,100.001,路面积水、污水冒溢、粪便冒溢
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,擅自占用道路堆物、施工
29-9月 -14,100,100,雨水井盖
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,市政公共设施偷盗破坏或占用
29-9月 -14,100,100,上水井盖
29-9月 -14,100,100,上水井盖
29-9月 -14,-2078,-2307,文明施工措施不落实
03-10月-14,100,100,上水井盖
05-10月-14,100,100,上水井盖
05-10月-14,100,100,其它井盖
30-9月 -14,100,100,上水井盖
30-9月 -14,100,100,路面积水、污水冒溢、粪便冒溢
30-9月 -14,100,100,路面积水、污水冒溢、粪便冒溢
30-9月 -14,100,100,上水井盖
07-7月 -15,-2420.99,-2790.29,群租
25-7月 -14,-1512,-12010,电信井盖
12-5月 -14,-931.6,-6344,其它井盖
19-8月 -14,-3221,-4115,机非分隔设施
18-6月 -15,-1271.402405,-4872.51079,群租
03-3月 -14,-165.9,-4435,其它井盖
08-7月 -15,-3194.583655,-7159.592744,道路施工和施工问题
31-7月 -14,-4767,-6317,电信立杆
23-4月 -14,-1204,-7926,路面积水、污水冒溢、粪便冒溢
14-7月 -15,-3434.337575,-6463.402568,群租
10-7月 -15,-1446.017157,-13059.16229,群租
04-7月 -14,-1463,-12460,电信井盖
21-8月 -14,-1218,-7953,其它井盖
28-5月 -15,-3263.565671,-6647.71012,道路施工和施工问题
08-8月 -14,-5538,-5847,道路破损
11-7月 -15,-2496.465766,-4143.686149,群租
14-7月 -15,-1268.902712,-7488.657706,路面积水、污水冒溢、粪便冒溢
14-7月 -15,-1931.576581,-4359.871814,群租
14-7月 -15,-1414.14,-4819.23,群租
15-7月 -15,-4332.600104,-6710.460264,群租
09-7月 -15,-3897.682023,-7828.083561,无证停车场
08-7月 -15,-3286.430855,-6423.141416,群租
28-8月 -14,100.001,100.001,道路破损
07-7月 -15,-4908.09,-5924.02,群租
10-7月 -15,-1723.660037,-13562.99973,群租
12-7月 -15,-3434.337575,-6463.402568,群租
25-7月 -15,-5731.066473,-5886.892103,群租
28-7月 -15,0,0,路面积水、污水冒溢、粪便冒溢
21-7月 -15,-1306.205797,-12192.29899,群租
15-7月 -15,-2092.834918,-5791.823623,群租
27-7月 -15,-1804.410085,-11294.81976,地锁
10-7月 -15,-1446.02,-13059.17,群租
23-7月 -15,-3495.436391,-7106.612968,群租
19-7月 -15,-4479,-7072,其它井盖
14-7月 -15,-2933.346406,-7081.387048,道路施工和施工问题
27-7月 -15,-3489.601543,-5408.185287,群租
15-7月 -15,-2208.504422,-8038.314665,群租
19-7月 -15,-3195.873959,-7621.226281,群租
22-7月 -15,-1317.2,-6986.24,道路施工和施工问题
26-7月 -15,-5400.356681,-6073.812199,群租
19-7月 -15,-3395.409479,-5538.976999,群租
25-7月 -15,-4115.515975,-5070.441414,群租
26-7月 -15,-3434.337575,-6463.402568,群租
21-7月 -15,-1920.428133,-10452.29969,群租
29-7月 -15,-1602.83,-1720.38,群租
19-7月 -15,-5106.330184,-5899.523751,群租
25-7月 -15,-1646.342373,-4633.671206,群租
20-7月 -15,-1804.42,-11294.82,地锁
23-7月 -15,0,0,其他立杆
12-7月 -15,-2022.385925,-10436.34891,群租
23-7月 -15,-2208.51,-8038.32,群租
24-7月 -15,-4332.600104,-6710.460264,群租
07-8月 -15,-4518.115144,-9442.62129,文明施工措施不落实
04-8月 -15,-1983.112293,-2239.749156,暴露垃圾
09-8月 -15,-2208.504422,-8038.314665,群租
31-7月 -15,-254.5009638,-1572.496035,道路施工和施工问题
05-8月 -15,-3293.083623,-6297.980711,群租
31-7月 -15,-6487,-7293,其它井盖
06-8月 -15,-2208.504422,-8038.314665,群租
02-8月 -15,-3806.479143,-7910.578537,群租
05-8月 -15,-1764.387525,-11906.96817,群租
31-7月 -15,-1835.807941,-3778.762597,行道树
04-8月 -15,-2383.151718,-6420.937384,无证停车场
06-8月 -15,-3954.014823,-5511.312039,群租
08-8月 -15,-4307.063656,-5647.635207,架空线坠落
31-7月 -15,-1207.169925,-12297.53291,群租
10-8月 -15,-7511.06,-6728.25,群租
09-8月 -15,-1762.008325,-8504.265994,群租
07-8月 -15,-2383.151718,-6420.937384,群租
01-8月 -15,-1257.316549,-12588.94936,群租
02-8月 -15,-5731.066473,-5886.892103,群租
08-8月 -15,-2208.504422,-8038.314665,群租
29-7月 -15,-2007.006789,-10490.59636,群租
09-8月 -15,-5276.361065,-6146.233287,群租
02-8月 -15,0,0,群租
19-8月 -15,-5471.979913,-8557.339978,群租
12-8月 -15,-2115,-2343,其它井盖
15-8月 -15,-1615,-3619,其它井盖
12-8月 -15,-738.3908843,-4451.95447,群租
13-8月 -15,-1399.507973,-13466.75128,地锁
13-8月 -15,-1420.721765,-13223.34507,地锁
12-8月 -15,-3434.337575,-6463.402568,群租
11-8月 -15,-1793.048421,-5686.780743,其它井盖
13-8月 -15,-2419.889926,-8673.250026,群租
12-8月 -15,-6173.074729,-8231.530025,群租
19-8月 -15,-7228.17,-6754.7,道路施工和施工问题
06-7月 -15,-3381.354823,-8292.049705,咨询类
06-7月 -15,-1721.422437,-2975.475876,市容环境
06-7月 -15,-1000.58,-3045.23,住宅小区管理
06-7月 -15,-1542.64,-8865.06,无证经营
06-7月 -15,-1286.884837,-4486.754982,民生保障
06-7月 -15,-752.7217643,-4238.009638,违法建筑
06-7月 -15,-4702.924392,-8894.898634,其他
06-7月 -15,-6678.430954,-6864.35396,劳动纠纷
06-7月 -15,-1520.079749,-1709.000003,违法建筑
06-7月 -15,-2921.030406,-3346.071781,违法建筑
06-7月 -15,-3318.426503,-7244.429832,社区事务管理
06-7月 -15,-5417.804169,-6116.405735,市容环境
06-7月 -15,-3895.499943,-10370.98004,民生保障
06-7月 -15,-2631.61559,-3677.181605,滨江管理
